id,user_id,speciality_id,bio,experience,is_featured,hospital_id,photo,created_at,updated_at
1,2,1,Est repellendus esse omnis fugiat consequuntur ut. Iusto perspiciatis illum omnis. Vel iure animi harum blanditiis at et nemo. Vero quia in aliquam repudiandae et.,20,1,1,doctors/avatar001.png,5/14/2025 6:24,5/14/2025 6:24
2,3,2,Ea molestiae qui mollitia deleniti. Totam illo explicabo beatae veritatis ut. Veniam porro cupiditate sit ipsum voluptatem reprehenderit accusamus.,22,1,2,doctors/avatar002.png,5/14/2025 6:24,5/14/2025 6:24
3,4,3,Dolorem qui nam optio accusamus commodi. Laudantium velit rerum sed repellat ut voluptatum. Ducimus qui vero sequi molestiae itaque eaque.,22,1,3,doctors/avatar003.png,5/14/2025 6:24,5/14/2025 6:24
4,5,4,Culpa ea modi consequatur aut. Sequi aliquid rem mollitia. Debitis eligendi iure deserunt aut aut sed voluptatum.,11,1,4,doctors/avatar004.png,5/14/2025 6:24,5/14/2025 6:24
5,6,5,Velit quia et odit quia et amet maiores. Odio dolorem quisquam est hic quo. Porro et quis corrupti ea sunt ex. Minima consequatur necessitatibus harum incidunt. Ab doloribus commodi vitae aut est eum est.,23,1,5,doctors/avatar005.png,5/14/2025 6:24,5/14/2025 6:24
6,7,6,Reprehenderit fugit eligendi eligendi ratione illo. Unde quis sed voluptatibus eveniet. Non ullam odio harum ut voluptatibus occaecati mollitia.,15,1,6,doctors/avatar006.png,5/14/2025 6:24,5/14/2025 6:24
7,8,7,Non consequatur itaque voluptas totam at distinctio. Et quas tempora eum culpa nemo.,17,1,7,doctors/avatar007.png,5/14/2025 6:24,5/14/2025 6:24
8,9,8,Velit hic voluptas dolores atque. Dolorem consequatur aut voluptatem et et assumenda. Maxime est iure dolores id similique quis sit. Perspiciatis alias quia quia quia tenetur.,26,1,8,doctors/avatar008.png,5/14/2025 6:24,5/14/2025 6:24
9,10,9,Ut fugiat possimus nemo modi. Aut occaecati similique numquam et qui sapiente natus omnis. Non eum praesentium esse aut nihil dolores rerum qui.,22,1,9,doctors/avatar009.png,5/14/2025 6:24,5/14/2025 6:24
10,11,10,Ut facilis sint sequi maiores qui corporis. Perspiciatis nihil est at fugit vel ut. Illum sint consequuntur adipisci maxime sed quod. Tempora nisi et reprehenderit omnis omnis ut ab. Quod magni blanditiis voluptatibus eaque perferendis voluptates.,16,1,10,doctors/avatar010.png,5/14/2025 6:24,5/14/2025 6:24
